Bis, The End Starts Today
They Might Be Giants, Why Must I Be Sad?
Alice Cooper, I Love America
Jane's Addiction, Mountain Song
Leonard Cohen, I'm Your Man
Iron Maiden, Revelations
The Fall, Hey Student
Joy Division, These Days
Slowdim, Wishing Well
8 Bit Universe, Slow Ride (8 Bit Tribute to Foghat)
Mandy Moore, I Wanna Be With You (Karaoke Instrumental Track)
The Divine Comedy, Gin Soaked Boy
Midnight Oil, The Dead Heart
The Hooters, And We Danced
Camper Van Beethoven, Take the Skinheads Bowling
Supergrass, Alright
The Galactic Heroes, Coffee and Pastries
Sweet Spirit, Baby When I Close My Eyes
Little Boots, New In Town
Flight Of The Conchords, Hiphopopotamus vs. Rhymenoceros
Fatboy Slim, Wonderful Night (Chiel Xcel World Wide Remix f. Lateef The Truthspeaker)
Walter Wanderley, Summer Samba (So Nice)
Colleen Green, I Wanna Be a Dog
Elastica, Stutter
Yo La Tengo, Moby Octopad
The Jesus and Mary Chain, Almost Gold
The Flaming Lips, Yoshimi Battles the Pink Robots, Pt. 1
Ride, Seagull
The Stone Roses, Waterfall
Catherine Wheel, I Want To Touch You
Chuck Mangione, Cannonball Run Theme
T. Rex, Mambo Sun
Spandau Ballet, True
Sonic Youth, Sugar Kane
Logic, 100 Miles and Running (feat. Wale &amp; John Lindahl)
Magic Kids, Summer
Nirvana, Molly's Lips
The Sonics, Strychnine
Toploader, Dancing In the Moonlight
Vince Guaraldi Trio, Christmas Is Coming
Frook, Reindeer Sweater
Harry Connick Jr, Sleigh Ride
Louis Armstrong, Cool Yule (feat. The Commanders)
Joshua Redman Brad Mehldau Christian McBride Brian Blade, Disco Ears
Horace Silver, Cool Eyes
Les Brown and His Orchestra, In My Merry Oldsmobile
SUPER SOFA, XMASEVERYDAY
Los Bitchos, Los Chrismos
The Flaming Lips, Christmas at the Zoo
Network the Narcotic, Legends Never Die
Pearl Jam, Let Me Sleep
Willie Nelson, Pretty Paper
Soul Coughing, Suzy Snowflake
Jimmy Smith, Jingle Bells
Jobii, Treat Yo' Elf
Adam Neely, God Rest Ye Merry Gentlemen 17TET
Khruangbin, Christmas Time Is Here (version Mary)
Vulfpeck feat. David T. Walker, Christmas. In L.A.
James Brown, Santa Claus Go Straight to the Ghetto
Lily Allen, Somewhere Only We Know
Laurence Nerbonne, Noël brille encore
Letterkenny, 3 Wise Men
Robert Charlebois, Marie-Noël
Zoe Sanders, La chute est douce
The Ramsey Lewis Trio, Snowfall
Sharon Jones &amp; the Dap‐Kings, 8 Days (Of Hanukkah)
Oscar Peterson, Let It Snow
Rotary Connection, Peace at Last
The Ramsey Lewis Trio, Here Comes Santa Claus
Money Mark, Stuck at the Airport
Lionel Hampton, Swingle Jingle
Decca Concert Orchestra conducted by Herbert Rehbein, Jingle Jingle Jingle
Carla Thomas, Gee Whiz, It's Christmas
Christmas.Vacation, Tylenol
G. Love, Christmas Baby
moe., Linus and Lucy
meadowzz, silver bells (Lo-Fi)
Ella Fitzgerald, What Are You Doing New Years Eve? (Mangini vs. Pallin mix)
Harry Connick Jr, Auld Lang Syne
Spinanes, Oceanwide
Beastii, Butch Beach
Thine Retail Simps, Regatta Del Blank
Cherubs, Donkey Suite
Gel, Mirage
Split System, The Drain
Broken Telepathy, Reasons For Excuses
Help, Black Cloud
Heet Deth, Boney Fish
208, Sunshine
Dummy, Nine Clean Nails
Hits, one (five -eight)
Another Dancer, Overfriendly Dogs
Chain Cult, Red Lines
Carembolage, Auf der suche
One Last Wish, This Time
Friendly Fires, Pala
The Cure, Tape/Burn (Blutarski Mix)
8 Bit Universe, Slow Ride (8 Bit Tribute to Foghat)
Harry Nilsson, Gotta Get Up
The Kills, Satellite
Kasabian, Days Are Forgotten
Crocodiles, Jet Boy Jet Girl
Hanni El Khatib, F--k It, You Win
Cults, Abducted
The War On Drugs, Burning
SAULT, I Just Want to Dance
David Guetta, Titanium (f. Sia)
The 2 Bears, Bear Hug
Little Boots, Headphones
Bastille, Pompeii
La Caution, Thé à la menthe (The Lazer Dance Version)
White Town, Your Woman
Beastie Boys, Super Disco Breakin'
Los Angeles Negros, El Rey Y Yo
Beastie Boys, Remote Control
Class Actress, Prove Me Wrong
Alice In Chains, Got Me Wrong
LCD Soundsystem, Somebody's Calling Me
Phantogram, When I'm Small
Romeo Void, Never Say Never (Single Version)
Cut Copy, Take Me Over
The Cure, Kyoto Song
U2, Numb (Video Remix)
The Flaming Lips, Turn It On (Edit)
Irene Cara, Flashdance...What a Feeling (Radio Edit)
X, True Love, Pt. 2
The Hooters, And We Danced
Michael McDonald, Sweet Freedom (Single Version)
The Doors, Peace Frog (Instrumental)
The Cyrkle, Red Rubber Ball
Gipsy Kings, Bamboleo
The Exciters, Tell Him
Howard Jones, Everlasting Love
Peter Godwin, Images Of Heaven (Razormaid Version 1998)
Miss Eaves, 3 Jobs
Frankie Goes to Hollywood, Two Tribes (808 State Mix)
Chuck Mangione, Cannonball Run Theme
Sly &amp; The Family Stone, Stand!
The High Decibels, Miss Cindy
Bobby Brown, Humpin' Around
The Pointer Sisters, Automatic
A Tribe Called Quest, Bonita Applebum
Communist Daughter, River
Abbie Barrett, Christmas Star
Stars, Christmas Anyway
Beach Bunny, Christmas Caller
La Femme Pendu, Yule
The Pretenders, 2000 Miles
Patti Smith, We Three Kings
Alice Bag, No Gifts for Nazis
The Dickies, Silent Night
Man or Astro-Man?, Frosty the Snowman
Titus Andronicus, Drummer Boy
The Pogues, Fairytale of New York (feat. Ella Finer)
Frank Turner, Happy New Year (feat. Jon Snodgrass)
The Beautiful South, This Will Be Our Year
Death Cab for Cutie, The New Year (Live in Seattle, WA 2020)
Pixies, Winterlong
Goldfinger, January
The Wonder Years, New Years Eve With Carl Weathers
Foo Fighters, Next Year
The Mountain Goats, This Year (feat. Stephen Colbert)
Bite Me Bambi, Holiday Cheer
Reel Big Fish, Life Sucks...Let's Dance!
Skatune Network, Jump in the Line
Pink, Raise Your Glass
Chappell Roan, Red Wine Supernova
Icona Pop, I Love It (feat. Charlie XCX)
LMFAO, Party Rock Anthem
Andew W.K., Party Hard
The Replacements, If Only You Were Lonely (feat. Tom Waits)
Kris Kristofferson, Sunday Mornin' Comin' Down
Supersuckers, Hungover Together
The Dollyrots, Auld Lang Syne
The The, Cognative Dissident
Kaleo, Rock-N-Roller
Jet, Cold Hard Bitch
Pixies, You're So Impatient
Translator, Everywhere That I'm Not
Trio, Da Da Da
Midnight Oil, The Power And The Passion
The Cure, Boys Don't Cry
Stone Roses, Fools Gold
RUN-DMC, What's It All About?
Stevie Ray Vaughan &amp; Lonnie Mack, Double Whammy
Cordell Jackson &amp; The ABones, Tied Up
White Stripes, Hello Operator
Rick Derringer, Rock &amp; Roll Hootchie Koo
The Rolling Stones, Bite My Head Off
Macy Gray, Smoke Two Joints
Alice In Chains, Junkhead
Fatboy Slim, Role Model
Nine Inch Nails, Down In It
The Kills, New York
Jane's Addiction, Three Days (live at Pinkpop 6/25/24)
Jane's Addiction, Ted Just Admit It (live at Pinkpop 6/25/24)
Jesus &amp; Mary Chain, Jamcod
Randy And The Rainbows, Denise
U2, Where the Streets Have No Name
Creedence Clearwater Revival, Lookin' Out My Back Door
The Uninvited, Too High for the Supermarket
Coral Moons, Winnebago
Lake Street Dive, You Go Down Smooth
Fleetwood Mac, Go Your Own Way (Single Version)
The Beatles, I'm Looking Through You
The Marketts, Out Of Limits
The Flaming Lips, The Yeah Yeah Yeah Song
The Afghan Whigs, I'll Make You See God
Cracker, Teen Angst (What the World Needs Now)
Superchunk, Trash Heap
Smashing Pumpkins, Hummer
Beastie Boys, Something's Got to Give
The Kills, Doing It To Death
Modest Mouse, Talking Shit About a Pretty Sunset
Big Star, The Ballad of el Goodo
R.E.M., You Are the Everything
The Beatles, Eleanor Rigby
Led Zeppelin, That's the Way
Nu Deco Ensemble, Superheroes
Doug Adams and Kirk McElhearn, The Next Track No. 296
David Byrne, What a Day That Was
Buddy Miles &amp; Carlos Santana, Marbles/Lava
Depeche Mode, Walking In My Shoes (Random Carpet Mix)
Grateful Dead, Brown-Eyed Woman
The Crystal Method, Roll It Up
Doug Adams and Kirk McElhearn, The Next Track Podcast Out
Robin Scott &amp; M, Pop Muzik
Hot Butter, Popcorn
Soft Cell, Tainted Love / Where Did Our Love Go
Thomas Dolby, She Blinded Me With Science
The Buggles, Video Killed The Radio Star
Orchestral Manoeuvres In The Dark, If You Leave
Naked Eyes, Always Something There To Remind Me
Modern English, I Melt with You
T'Pau, Heart and Soul
Howard Jones, Things Can Only Get Better
Relax, Frankie Goes To Hollywood
Rick Astley, Together Forever
Kajagoogoo, Too Shy
Erasure, Oh L'Amour
Pet Shop Boys, West End Girls
Billy Idol, White Wedding (Pts. 1 &amp; 2)
Guns 'N Roses, Sweet Child O' Mine
Ozzy Osbourne, Crazy Train
Stevie Nicks, Edge of Seventeen
Van Halen, Hot For Teacher
Rick Springfield, Jessie's Girl
EXTREME, More Than Words
Kenny Loggins, Danger Zone
Europe, The Final Countdown
Yuzo Koshiro &amp; Motohiro Kawashima, Disco
Beeef, I Wish It Was Christmas Today
Los Straitjackets, Here Comes Santa Claus
Bleached, Jingle Bells
Together Pangea, Father Christmas
Zip-Tie Handcuffs, Santa's a Creep
Ginger Root, Linus n' Lucy (Theme from Peanuts)
Me in Capris, Lonely Christmas
Titus Andronicus, Drummer Boy
The Rondelles, Angels We've Heard On High
Holly Golightly, Christmas Tree On Fire
Dude York, Break Up Holiday
Ramones, Merry Christmas (I Don't Want to Fight Tonight)
George Korein, Joy Division to the World
Wild Carnation, Bells of Consent
Tommy Tutone, Santa Jenny 867-5309
Descendents, Christmas Vacation
Lunar Vacation, Last Christmas
Best Coast, Little Saint Nick
The Fall, (We Wish You) A Protein Christmas
Black Thai, Less Talk, More Rokk
Muse, Map of the Problematique
Steppenwolf, Magic Carpet Ride
Cut Copy, Where I'm Going
The Flaming Lips, Race for the Prize
Frank Black, Man Of Steel
The Mountain Goats, Andrew Eldritch Is Moving Back To Leeds
They Might Be Giants, Cowtown
Sex Pistols, God Save the Queen
R.E.M., Underneath The Bunker (Instrumental Loop)
The Gap Band, You Dropped a Bomb On Me
The Bucketheads, The Bomb! (These Sound Fall Into My Mind) [Radio Edit]
Prince, Cream
Orbit, Medicine
AC/DC, T.N.T.
The Future Sound of London, We Have Explosive
The Runaways, Cherry Bomb
Ronald Reagan, We Begin Bombing in 5 Minutes
Beck, Timebomb
The Breeders, Cannonball
The Smiths, Ask
Walt Disney World, Space Mountain Entrance Music
Quad City DJ's, Space Jam
Fat Boys, Human Beat Box
A Tribe Called Quest, Check The Rhime
Beastie Boys, Shadrach
Heavy D &amp; The Boyz, Gyrlz They Love Me (Edit)
TLC, What About Your Friends
Positive K, I Got A Man
New Edition, Candy Girl
Wreckx-N-Effect, Rump Shaker
P.M. Dawn, Looking Through Patient Eyes
Arrested Development, Tennessee
Giorgio Moroder, Chase
Tanya Donelly, Dream A Little Dream Of Me (f. Will Dailey)
Roy Orbison, Blue Bayou
Yo La Tengo, Last Days Of Disco
Luna, Superfreaky Memories
U2, Mothers of the Disappeared
Brian Eno, Just Another Day
Superchunk, What a Time to Be Alive (Acoustic)
Pixies, Gigantic
The Chills, The Oncoming Day
Chuck Mangione, Cannonball Run Theme
Sara DeBell, Hunger Strike
The Cure, Just Like Heaven
The Replacements, Kiss Me On the Bus
Steely Dan, Black Friday
The Chills, The Oncoming Day (1987 Version)
Spouse, Marbles (Supraphon)
Marbles, Telescope
Balanescu Quartet, Model
Childish Gambino, Atavista
Childish Gambino, Algorhythm
Nick Ward, Control
Sky Ferreira, Leash
Class Actress, Love Me Like You Used To
Voice of the Beehive, Monsters and Angels
Yeah Yeah Yeahs &amp; Boy Harsher, Wolf (Boy Harsher Remix)
Leonard Nimoy, Music to Watch Space Girls By
Joe DeVito, Deny, Defend, Depose
54-40, Ocean Pearl
The Peddlers, On a Clear Day You Can See Forever
Kim Deal, Crystal Breath
Depeche Mode, Never Let Me Down Again
The Beta Band, Inner Meet Me
Belle &amp; Sebastian, Everything Is Now [Instrumental]
Beeef, I Wish It Was Christmas Today
The Magnetic Fields, Everything Is One Big Christmas Tree
Tom Lehrer, A Christmas Carol
Perry Como &amp; The Fontane Sisters, It's Beginning to Look a Lot Like Christmas
Bing Crosby, Christmas In Killarney
The Blarney Lads, Muirsheen Durkin
Jonathan Coulton &amp; John Roderick, 2600
Pas/Cal, Little Red Radio
Iced Shank, Yule Log
Kibble, Warm Fireplace
Grace Jones, The Little Drummer Boy
Lindsey Buckingham, Holiday Road
The Beach Boys, Little Saint Nick
The Kinks, Father Christmas
Future Teens, Regift my Heart
They Might Be Giants, Santa's Beard
Bob &amp; Doug McKenzie, The Twelve Days of Christmas
"Weird Al" Yankovic, Christmas At Ground Zero
The Waitresses, Christmas Wrapping
Jerry Goldsmith, The Gremlin Rag (Full Version)
Abbie Barrett, Christmas Star
David Bowie, Starman
Wham!, Last Christmas
Jackie DeShannon, Put A Little Love In Your Heart
Howard Huntsberry, (Your Love Keeps Lifting Me) Higher And Higher
South Park, What Would Brian Boitano Do
Elmer Bernstein, Jamaican Bye Bye
José Feliciano, Feliz Navidad
Bing Crosby &amp; The Andrews Sisters, Mele Kalikimaka
Steve Miller Band, Fly Like an Eagle
Steely Dan, Aja
Dar Williams, Are You out There
Tom Petty &amp; The Heartbreakers, The Last DJ
Thomas Dolby, Airwaves
Billy Joel, Goodnight Saigon
The Doors, Strange Days
Elvis Costello, Deep Dark Truthful Mirror
The Mountain Goats, Thank You Mario But Our Princess Is In Another Castle
Tori Amos, Take To the Sky
The Cure, A Few Hours After This...
Missing Persons, Words
The Flirts, Jukebox (Don't Put Another Dime)
The Clash, Brand New Cadillac
Burning Spear, Marcus Garvey
King Floyd, Groove Me
Alive 'N Kickin', Tighter, Tighter
Blue In Green, Rainy Streets
Amber Mark, Lose My Cool
Lykke Li, I Follow Rivers (The Magician Remix)
Cut Copy, Hearts On Fire
Stephen Fry, Pan Galactic Gargle Blaster
Fesliyan Studios, Destruction (2HMFRFH Sweeper)
The Andrews Sisters, Beer Barrel Polka (Roll Out The Barrel)
The Monkees, I'm a Believer
Deerhoof, God 2
Sugarcubes, Motorcrash
Mötley Crüe, Dr. Feelgood
Paul Clayton, Lilliburlero
The Pogues, Thousands Are Sailing
U2, Gloria
Pet Shop Boys, Where the Streets Have No Name (I Can't Keep My Eyes off You)
Al Martino, Spanish Eyes
Molly Johnson, Miss Celie's Blues
Monna Bell, Estaba escrito (Mambo moruno)
Molly Lewis, Island Spell
Alabaster DePlume, Turpentine
Oliver Coates, Prairie
Panda Bear, Ponytail
Paranthetical Girls, Keyholes and Curtains
Cass Elliot, Make Your Own Kind Of Music
The Icicle Works, Whisper to a Scream (Birds Fly)
Naked Eyes, Always Something There to Remind Me
Emmylou Harris, The Boxer
Pentangle, Light Flight
Monster Rally, Sister Owls
Gorillaz, 19-2000
Tunde Adebimpe, Magnetic
Love and Rockets, So Alive
Grace Ives, On The Ground
Echo &amp; the Bunnymen, Lips Like Sugar
Alan Moorhousex, That's Nice
Moses Sumney, In Bloom
Moondog, Wine, Women and Song
Labi Siffre, Love Song for Someone
Al Green, Sha-La-La (Make Me Happy)Orchestral
Curtis Mayfield, Superfly
Surprise Chef, Spiky Boi
Naomi Elizabeth, God Sent Me Here To Rock You
CHVCHES, Clearest Blue
Lou Monte, Dominick The Donkey (The Italian Christmas Donkey)
Kibble, Head Like a Holy Night
Hallelujah The Hills, Christmas (Baby Please Come Home)
The Magnetic Fields, Mr. Mistletoe
They Might Be Giants, Santa's Beard
John McClane, Die Hard (Trailer Audio)
Marian Call, Christmas in L.A. (Yippee Ki Yay) (explicit lyrics)
John Zorn, The Christmas Song
Reggie Watts, Christmas Is For Fuckin'
Big Dee Irwin &amp; Little Eva, I Wish You A Merry Christmas
Jimmy Donley, Santa! Don't Pass Me By
The Brothers Cazimero, Hawaiian Santa
Bing Crosby &amp; The Andrews Sisters, Mele Kalikimaka (Single Version)
Afroman, O Chronic Tree
Sarah Silverman, Give The Jew Girl Toys
Brenda Lee, Rockin' Around The Christmas Tree
Johnny Cash, The Little Drummer Boy
Samuel Kim, Imperial March x Carol of The Bells
Star Wars Christmas Album, R2 D2 We Wish You a Merry Christmas
MYSTERY ARTIST, Santa, Bring Me A Christmas Doll?
El Vez, Mamacita Donde Esta Santa Claus
Taylor Swift, 'tis the damn season
Dean Martin, Canadian Sunset
Mojo Nixon, It's Christmas Time
Mystery Science Theater 3000, (Let's Have) A Patrick Swayze Christmas
Alicia Witt, Weird Time of Year
Kestrels, Last Christmas
Mariah Carey, All I Want For Christmas Is You
Wizzard, I Wish It Could Be Christmas Everyday
LCD Soundsystem, Christmas Will Break Your Heart
Cheap Trick, Merry Christmas (I Don't Want to Fight Tonight)
Pat Fleet, pat fleet drop (telephone)
Gent &amp; Jawns, Turn Up Ye Merry Gentlemen
David Bass, Dubstep Santa
100 gecs, sympathy 4 the grinch
Kibble, I Hurt Myself, Rejoice
HParty 2011, BOOONUUUSSSS TRAAAACCCCKKKK (live)
My Dick, Do They Know It's My Dick?
Pixies, Velouria
Joy Division, Shadowplay
LCD Soundsystem, Losing My Edge
The Mountain Goats, Training Montage
Joe "Bean" Esposito, You're The Best
Stan Bush, The Touch
Theodore Shapiro &amp; Craig Wedren, Higher and Higher / Wind
The Weeknd, Take My Breath
Survivor, Eye of the Tiger
2 Many DJs, Eye of The Wish (Soulwax Mix)
The Breeders, Cannonball
Mirwais, Disco Science
Stevie Nicks, Edge of Seventeen
Destiny's Child, Bootylicious
Churchill, Hear Missy Work It
James Brown, Living In America
A Tribe Called Quest, What?
A Tribe Called Quest, What?
David Bowie, Life On Mars?
Liz Phair, Nashville
Black Nash, Alligator
Girl K, Girl K Is For The People
Japanese Breakfast, Be Sweet
Smashing Pumpkins, Rocket
The Chills, Heavenly Pop Hit
Catherine Wheel, Judy Staring At The Sun (f. Tanya Donelly)
Toad the Wet Sprocket, Little Heaven
Peter Gabriel, That Voice Again
Tori Amos, The Happy Worker
Liz Phair, Dance Of The Seven Veils
The Mountain Goats, Training Montage
Sky Ferreira, Don’t Forget
STS9, Scheme
Sinéad O'Connor, Wake Up and Make Love With Me
Future Islands, Cave
Beastie Boys, The Grasshopper Unit (Keep Movin')
Alabama 3, Hypo Full Of Love
Gorillaz, Superfast Jellyfish (Feat. Gruff Rhys and De La Soul)
Bill Nelson, Living In My Limousine (Remix)
After The Fire, Der Kommissar (English Version)
Eddy Grant, Electric Avenue
Little Green Cars, Harper Lee
The Monkees, What Am I Doing Hangin' 'Round
The Residents, Mr. Bee's Bumble
Ozzy Osbourne, No More Tears (Edit)
EMF, Longtime
Home Counties, The Home Counties
Yard Act, The Overload
Elton John, I'm Still Standing
Ren &amp; Stimpy, "International Log"
JW Francis, Turtleneck Weather
Laughing, Pebble
sad dad, Heartache
Fontaines D.C., Favourite
The Lemon Twigs, My Golden Years
Chime School, Wandering Song
Wild Pink, Sprinter Brain
Suki Waterhouse, Supersad
Ride, Peace Sign
Ducks Ltd., On Our Way To the Rave
Magdalena Bay, Image
Jelani Aryeh, I'm in Love
The Smile, Friend of a Friend
veronicavon, Party
topographies, Arch
Molly Nilsson, Excalibur
Vampire Weekend, Classical
Teenage Dads, Speedracer
Washed Out, The Hardest Part
Real Estate, Water Underground
Lightheaded, Dawn Hush Lullaby
Young Scum, Peach Ice Cream
Beach Bunny, Vertigo
2nd Grade, Triple Bypass In B-Flat
Cindy Lee, Flesh and Blood
Adrianne Lenker, Once a Bunch
Waxahatchee, Right Back to It (feat. MJ Lenderman)
Bright Eyes, Bells and Whistles
MJ Lenderman, She's Leaving You
Korn, Got the Life
Sex Pistols, Did You No Wrong
Bowling for Soup, Suckerpunch
Randy California, Day Tripper
The Allman Brothers Band, Trouble No More
Daryl Hall, Sacred Songs
Echobelly, Nobody Like You
The Faces, My Fault
Big Audio Dynamite, Mr. Walker Said
The Godfathers, Birth, School, Work, Death
Spoon, Do I Have to Talk You Into It
Hot Tuna, Santa Claus Retreat
The Jam, The Bitterest Pill (I Ever Had To Swallow)
The Move, Do Ya
Talking Heads, Thank You for Sending Me an Angel
Bis, Listen Up
John Mayall &amp; The Bluesbreakers, Another Man
Status Quo, Down the Dustpipe (7'')
The League of Gentlemen, Heptaparaparshinokh
The Knack, Heartbeat
The Muffs, Honeymoon
Surfer Blood, Neighbour Riffs
The Clash, Brand New Cadillac
X, Year 1
